State Fips Code,County Fips Code,Name,Housing Unit Estimate,Rodent Estimate,90% CI Lower Bound,90% CI Upper Bound
26,083,"Keweenaw County, MI","2,514", 	741 , 	324 ," 	1,158 "
26,085,"Lake County, MI","15,508"," 	2,543 "," 	1,111 "," 	3,974 "
26,087,"Lapeer County, MI","36,971"," 	8,441 "," 	5,247 "," 	11,635 "
26,089,"Leelanau County, MI","15,917"," 	3,389 "," 	1,519 "," 	5,260 "
26,091,"Lenawee County, MI","43,969"," 	9,676 "," 	4,229 "," 	15,123 "
26,093,"Livingston County, MI","77,728"," 	10,120 "," 	6,472 "," 	13,768 "
26,095,"Luce County, MI","4,385", 	907 , 	397 ," 	1,418 "
26,097,"Mackinac County, MI","11,295"," 	2,507 "," 	1,096 "," 	3,918 "
26,099,"Macomb County, MI","369,479"," 	20,254 "," 	10,755 "," 	29,753 "
26,101,"Manistee County, MI","15,910"," 	3,025 "," 	1,383 "," 	4,667 "
26,103,"Marquette County, MI","34,974"," 	7,494 "," 	3,275 "," 	11,713 "
26,105,"Mason County, MI","17,730"," 	3,975 "," 	1,737 "," 	6,213 "
26,107,"Mecosta County, MI","21,901"," 	4,462 "," 	1,950 "," 	6,974 "
26,109,"Menominee County, MI","14,369"," 	3,525 "," 	1,541 "," 	5,510 "
26,111,"Midland County, MI","37,211"," 	6,762 "," 	2,955 "," 	10,568 "
26,113,"Missaukee County, MI","9,294"," 	2,836 "," 	1,239 "," 	4,432 "
26,115,"Monroe County, MI","65,258"," 	11,973 "," 	5,233 "," 	18,713 "
26,117,"Montcalm County, MI","28,872"," 	8,403 "," 	3,673 "," 	13,133 "
26,119,"Montmorency County, MI","9,631"," 	2,160 ", 	944 ," 	3,376 "
26,121,"Muskegon County, MI","74,487"," 	13,054 "," 	5,705 "," 	20,402 "
26,123,"Newaygo County, MI","25,806"," 	6,499 "," 	2,840 "," 	10,157 "
26,125,"Oakland County, MI","544,669"," 	30,070 "," 	22,840 "," 	37,300 "
26,127,"Oceana County, MI","16,300"," 	4,207 "," 	1,839 "," 	6,575 "
26,129,"Ogemaw County, MI","16,252"," 	3,832 "," 	1,675 "," 	5,990 "
26,131,"Ontonagon County, MI","5,703"," 	1,788 ", 	782 ," 	2,795 "
26,133,"Osceola County, MI","13,853"," 	4,372 "," 	1,911 "," 	6,833 "
26,135,"Oscoda County, MI","9,282"," 	2,025 ", 	885 ," 	3,165 "
26,137,"Otsego County, MI","14,928"," 	2,717 "," 	1,188 "," 	4,247 "
26,139,"Ottawa County, MI","111,978"," 	15,463 "," 	7,352 "," 	23,575 "
26,141,"Presque Isle County, MI","10,496"," 	2,551 "," 	1,115 "," 	3,987 "
26,143,"Roscommon County, MI","24,611"," 	3,457 "," 	1,511 "," 	5,403 "
26,145,"Saginaw County, MI","88,036"," 	15,604 "," 	6,820 "," 	24,388 "
26,147,"St. Clair County, MI","72,584"," 	11,289 "," 	7,268 "," 	15,311 "
26,149,"St. Joseph County, MI","28,058"," 	6,731 "," 	2,942 "," 	10,520 "
26,151,"Sanilac County, MI","23,155"," 	6,586 "," 	3,008 "," 	10,165 "
26,153,"Schoolcraft County, MI","6,401"," 	1,449 ", 	634 ," 	2,265 "
